dateLogged,day,sleepDuration,activeCalories,floors,maxHeartRate,minHeartRate,moderateIntensityMins,restHeartRate,calories,distance,steps,vigourousIntensityMinutes,VO2MAX,weight,beers,virus,predictVirus,score
30-Jun-17,Friday,6.8,410,8,126,44,0,57,2361,7.4,8876,0,65,79.3,2,N,Y,79.70
29-Jun-17,Thursday,7.8,1304,30,158,50,9,54,3420,20.3,21058,43,65,78.7,4,N,N,1.98
28-Jun-17,Wednesday,7.0,365,7,139,39,0,52,2481,6.8,8195,0,65,78.7,3,N,N,4.96
27-Jun-17,Tuesday,8.4,401,4,139,39,3,45,2517,5.8,6843,10,64,78.7,1,N,N,0.00
26-Jun-17,Monday,7.7,95,0,119,43,0,50,2193,2,2331,0,64,77.2,0,N,N,0.05
25-Jun-17,Sunday,8.2,404,17,122,46,0,51,2502,9.6,11525,0,64,77.2,0,N,N,30.81
24-Jun-17,Saturday,9.0,433,4,147,45,0,53,2531,7.9,9178,0,64,77.2,0,N,N,41.80
23-Jun-17,Friday,8.4,1958,14,174,46,7,51,4052,17.8,18202,100,64,77.2,0,N,N,2.18
22-Jun-17,Thursday,9.4,39,0,99,41,0,53,2156,1.1,1320,0,64,76.9,0,N,Y,66.90
21-Jun-17,Wednesday,8.4,409,21,110,47,0,47,2540,8.5,10164,0,64,78.8,0,N,N,1.50
20-Jun-17,Tuesday,11.4,155,23,118,40,0,48,2274,6.1,7151,0,64,79.9,0,N,N,0.17
19-Jun-17,Monday,5.1,555,1,162,46,26,51,2671,6.6,6994,22,64,78.9,0,N,N,0.01
18-Jun-17,Sunday,4.5,0,0,105,44,0,53,897,0.1,109,0,64,78.7,0,N,N,45.51
17-Jun-17,Saturday,6.5,1139,52,173,39,33,45,3250,24.7,14302,55,64,78.3,0,N,N,0.00
16-Jun-17,Friday,8.7,473,17,129,41,0,59,2584,10.9,13004,0,64,78.3,3,Y,Y,92.64
15-Jun-17,Thursday,7.2,473,15,130,42,0,54,2584,10.3,12402,0,64,78.3,6,N,N,1.28
14-Jun-17,Wednesday,7.3,339,4,107,37,0,49,2450,8.4,10024,0,64,78.3,2,N,N,0.47
13-Jun-17,Tuesday,6.6,1958,32,162,35,11,51,4069,32.7,26659,91,64,78.3,5,N,N,0.00
12-Jun-17,Monday,9.3,2616,98,176,37,8,47,4727,30.5,27975,165,64,78.3,4,N,N,0.00
11-Jun-17,Sunday,1.5,276,6,124,42,0,54,2365,5.9,7052,0,65,78.3,2,N,N,6.87
10-Jun-17,Saturday,7.1,410,9,138,36,6,47,2521,10.1,12045,6,65,78.3,3,N,N,0.00
9-Jun-17,Friday,8.1,139,2,115,40,0,48,2250,5.3,6385,0,65,78.3,3,N,N,0.32
8-Jun-17,Thursday,7.3,541,15,130,35,24,45,2651,5.8,6910,2,65,78.3,0,N,N,0.01
